order_id,customer_id,product_id,product_name,quantity,price,revenue,order_date
1,3143,14,Knoll Saarinen Executive Conference Chair,4,499.99,1999.96,2025-09-29
2,3588,27,Honey Jar,5,6.99,34.95,2026-05-07
3,2431,23,Eggs,4,2.99,11.96,2026-01-04
4,2246,8,Dior J'adore,2,89.99,179.98,2026-04-10
5,4038,14,Knoll Saarinen Executive Conference Chair,5,499.99,2499.95,2025-11-24
6,1144,7,Chanel Coco Noir Eau De,3,129.99,389.97,2025-09-28
7,1674,1,Essence Mascara Lash Princess,1,9.99,9.99,2026-03-24
8,1485,14,Knoll Saarinen Executive Conference Chair,1,499.99,499.99,2026-02-12
9,1464,2,Eyeshadow Palette with Mirror,5,19.99,99.94999999999999,2025-12-10
10,4210,28,Ice Cream,3,5.49,16.47,2026-03-06
11,2591,6,Calvin Klein CK One,4,49.99,199.96,2025-06-17
12,3847,14,Knoll Saarinen Executive Conference Chair,5,499.99,2499.95,2025-08-04
13,4280,25,Green Bell Pepper,2,1.29,2.58,2025-08-30
14,1724,30,Kiwi,4,2.49,9.96,2025-10-21
15,3509,27,Honey Jar,5,6.99,34.95,2025-10-29
16,3475,5,Red Nail Polish,4,8.99,35.96,2026-02-22
17,3485,18,Cat Food,3,8.99,26.97,2025-11-13
18,4503,1,Essence Mascara Lash Princess,2,9.99,19.98,2026-04-23
19,4909,10,Gucci Bloom Eau de,2,79.99,159.98,2026-03-09
20,1215,14,Knoll Saarinen Executive Conference Chair,5,499.99,2499.95,2026-05-01
21,4827,22,Dog Food,3,10.99,32.97,2025-10-02
22,4124,19,Chicken Meat,2,9.99,19.98,2025-07-08
23,1544,26,Green Chili Pepper,3,0.99,2.9699999999999998,2026-03-13
24,1230,24,Fish Steak,2,14.99,29.98,2026-03-12
25,1932,25,Green Bell Pepper,2,1.29,2.58,2026-03-20
26,1461,9,Dolce Shine Eau de,3,69.99,209.96999999999997,2026-02-11
27,4323,10,Gucci Bloom Eau de,4,79.99,319.96,2026-02-21
28,2828,27,Honey Jar,1,6.99,6.99,2025-11-29
29,3742,25,Green Bell Pepper,1,1.29,1.29,2025-11-25
30,4236,28,Ice Cream,2,5.49,10.98,2025-08-11
31,2672,16,Apple,5,1.99,9.95,2026-02-17
32,1943,3,Powder Canister,5,14.99,74.95,2025-05-26
33,1151,25,Green Bell Pepper,2,1.29,2.58,2025-09-17
34,4352,20,Cooking Oil,2,4.99,9.98,2025-07-12
35,3292,3,Powder Canister,1,14.99,14.99,2026-03-24
36,2915,1,Essence Mascara Lash Princess,5,9.99,49.95,2025-09-18
37,3614,16,Apple,1,1.99,1.99,2026-03-09
38,2610,28,Ice Cream,1,5.49,5.49,2025-10-09
39,2139,16,Apple,2,1.99,3.98,2025-09-12
40,2876,28,Ice Cream,1,5.49,5.49,2025-10-06
41,1841,15,Wooden Bathroom Sink With Mirror,3,799.99,2399.9700000000003,2025-06-09
42,3905,23,Eggs,3,2.99,8.97,2026-03-04
43,3680,2,Eyeshadow Palette with Mirror,3,19.99,59.97,2026-01-15
44,2079,19,Chicken Meat,2,9.99,19.98,2026-05-09
45,1158,8,Dior J'adore,1,89.99,89.99,2026-02-08
46,3579,15,Wooden Bathroom Sink With Mirror,5,799.99,3999.95,2026-02-17
47,4124,30,Kiwi,5,2.49,12.450000000000001,2025-12-11
48,4612,8,Dior J'adore,5,89.99,449.95,2025-12-13
49,3823,17,Beef Steak,5,12.99,64.95,2025-10-28
50,1713,2,Eyeshadow Palette with Mirror,3,19.99,59.97,2025-12-30
51,4890,1,Essence Mascara Lash Princess,3,9.99,29.97,2026-03-05
52,4624,30,Kiwi,5,2.49,12.450000000000001,2025-09-26
53,1942,13,Bedside Table African Cherry,1,299.99,299.99,2026-04-01
54,3825,19,Chicken Meat,1,9.99,9.99,2026-01-17
55,3939,3,Powder Canister,1,14.99,14.99,2026-02-04
56,4886,24,Fish Steak,3,14.99,44.97,2026-02-06
57,1736,16,Apple,1,1.99,1.99,2025-06-05
58,1424,30,Kiwi,2,2.49,4.98,2026-04-28
59,4177,12,Annibale Colombo Sofa,3,2499.99,7499.969999999999,2025-07-25
60,2511,1,Essence Mascara Lash Princess,3,9.99,29.97,2025-06-05
61,4401,2,Eyeshadow Palette with Mirror,5,19.99,99.94999999999999,2025-08-02
62,3897,24,Fish Steak,4,14.99,59.96,2025-09-17
63,2185,14,Knoll Saarinen Executive Conference Chair,3,499.99,1499.97,2025-06-11
64,2995,1,Essence Mascara Lash Princess,2,9.99,19.98,2026-04-27
65,1489,4,Red Lipstick,1,12.99,12.99,2025-11-09
66,1029,19,Chicken Meat,3,9.99,29.97,2025-10-24
67,3383,30,Kiwi,2,2.49,4.98,2025-10-08
68,3289,4,Red Lipstick,1,12.99,12.99,2025-12-23
69,3783,14,Knoll Saarinen Executive Conference Chair,2,499.99,999.98,2025-12-04
70,4244,19,Chicken Meat,2,9.99,19.98,2026-03-07
71,3581,22,Dog Food,5,10.99,54.95,2026-04-03
72,3571,4,Red Lipstick,5,12.99,64.95,2025-06-30
73,1733,17,Beef Steak,5,12.99,64.95,2025-11-11
74,2560,4,Red Lipstick,3,12.99,38.97,2025-09-26
75,4798,17,Beef Steak,4,12.99,51.96,2025-07-07
76,4725,8,Dior J'adore,1,89.99,89.99,2026-03-28
77,1974,11,Annibale Colombo Bed,5,1899.99,9499.95,2026-03-13
78,4738,14,Knoll Saarinen Executive Conference Chair,2,499.99,999.98,2026-03-07
79,1051,11,Annibale Colombo Bed,1,1899.99,1899.99,2025-09-24
80,4767,22,Dog Food,1,10.99,10.99,2025-11-30
81,3832,22,Dog Food,2,10.99,21.98,2026-03-31
82,4590,17,Beef Steak,1,12.99,12.99,2025-06-23
83,4452,2,Eyeshadow Palette with Mirror,2,19.99,39.98,2026-04-26
84,2761,14,Knoll Saarinen Executive Conference Chair,5,499.99,2499.95,2026-03-03
85,3488,14,Knoll Saarinen Executive Conference Chair,4,499.99,1999.96,2025-06-04
86,2485,28,Ice Cream,5,5.49,27.450000000000003,2025-12-16
87,4951,16,Apple,3,1.99,5.97,2025-08-01
88,2621,27,Honey Jar,5,6.99,34.95,2025-12-03
89,3000,17,Beef Steak,2,12.99,25.98,2025-12-31
90,3827,12,Annibale Colombo Sofa,3,2499.99,7499.969999999999,2025-12-29
91,4733,26,Green Chili Pepper,3,0.99,2.9699999999999998,2025-06-27
92,2213,2,Eyeshadow Palette with Mirror,4,19.99,79.96,2025-10-16
93,1929,25,Green Bell Pepper,2,1.29,2.58,2025-11-13
94,1657,21,Cucumber,2,1.49,2.98,2025-06-12
95,3204,30,Kiwi,3,2.49,7.470000000000001,2025-09-04
96,1807,16,Apple,5,1.99,9.95,2025-09-13
97,3199,5,Red Nail Polish,5,8.99,44.95,2026-02-11
98,4173,23,Eggs,4,2.99,11.96,2026-04-25
99,2828,14,Knoll Saarinen Executive Conference Chair,2,499.99,999.98,2025-10-31
100,2435,27,Honey Jar,4,6.99,27.96,2025-09-03
101,3227,20,Cooking Oil,2,4.99,9.98,2026-01-05
102,4130,23,Eggs,5,2.99,14.950000000000001,2026-03-28
103,4522,23,Eggs,5,2.99,14.950000000000001,2025-05-27
104,2729,7,Chanel Coco Noir Eau De,3,129.99,389.97,2025-11-22
105,2745,30,Kiwi,3,2.49,7.470000000000001,2025-11-28
106,3664,16,Apple,3,1.99,5.97,2025-06-11
107,3141,21,Cucumber,3,1.49,4.47,2025-07-07
108,1707,22,Dog Food,4,10.99,43.96,2026-02-15
109,4427,15,Wooden Bathroom Sink With Mirror,4,799.99,3199.96,2026-02-17
110,1980,17,Beef Steak,1,12.99,12.99,2025-05-27
111,2113,18,Cat Food,4,8.99,35.96,2026-04-24
112,4304,23,Eggs,2,2.99,5.98,2025-11-09
113,4893,13,Bedside Table African Cherry,4,299.99,1199.96,2025-08-01
114,3741,15,Wooden Bathroom Sink With Mirror,2,799.99,1599.98,2025-08-14
115,2469,10,Gucci Bloom Eau de,2,79.99,159.98,2025-10-09
116,2518,1,Essence Mascara Lash Princess,2,9.99,19.98,2025-10-30
117,2793,22,Dog Food,1,10.99,10.99,2025-10-30
118,1416,12,Annibale Colombo Sofa,1,2499.99,2499.99,2025-10-06
119,2422,16,Apple,2,1.99,3.98,2026-03-05
120,4080,21,Cucumber,1,1.49,1.49,2026-03-06
121,1705,2,Eyeshadow Palette with Mirror,2,19.99,39.98,2025-09-10
122,4472,8,Dior J'adore,5,89.99,449.95,2025-08-09
123,2032,4,Red Lipstick,1,12.99,12.99,2026-02-12
124,3902,21,Cucumber,1,1.49,1.49,2025-06-11
125,3504,17,Beef Steak,2,12.99,25.98,2025-10-09
126,4222,23,Eggs,1,2.99,2.99,2025-11-16
127,4646,24,Fish Steak,1,14.99,14.99,2025-12-31
128,4382,26,Green Chili Pepper,3,0.99,2.9699999999999998,2025-11-22
129,2741,12,Annibale Colombo Sofa,1,2499.99,2499.99,2025-06-13
130,1528,10,Gucci Bloom Eau de,3,79.99,239.96999999999997,2025-08-27
131,3113,27,Honey Jar,3,6.99,20.97,2025-08-21
132,2047,3,Powder Canister,2,14.99,29.98,2025-10-18
133,3998,15,Wooden Bathroom Sink With Mirror,2,799.99,1599.98,2025-09-22
134,4713,22,Dog Food,2,10.99,21.98,2025-12-24
135,4419,13,Bedside Table African Cherry,5,299.99,1499.95,2025-07-23
136,3857,7,Chanel Coco Noir Eau De,4,129.99,519.96,2026-03-17
137,3681,13,Bedside Table African Cherry,2,299.99,599.98,2026-02-07
138,1364,9,Dolce Shine Eau de,2,69.99,139.98,2026-02-09
139,1611,3,Powder Canister,5,14.99,74.95,2025-08-07
140,2664,14,Knoll Saarinen Executive Conference Chair,3,499.99,1499.97,2026-02-23
141,4682,8,Dior J'adore,4,89.99,359.96,2025-10-06
142,2908,27,Honey Jar,4,6.99,27.96,2026-01-18
143,4815,2,Eyeshadow Palette with Mirror,2,19.99,39.98,2025-09-28
144,2890,15,Wooden Bathroom Sink With Mirror,2,799.99,1599.98,2026-01-18
145,1494,11,Annibale Colombo Bed,4,1899.99,7599.96,2025-08-11
146,4713,10,Gucci Bloom Eau de,5,79.99,399.95,2025-07-16
147,4346,10,Gucci Bloom Eau de,1,79.99,79.99,2026-03-18
148,3743,12,Annibale Colombo Sofa,5,2499.99,12499.949999999999,2025-06-02
149,4052,28,Ice Cream,5,5.49,27.450000000000003,2026-03-21
150,4479,11,Annibale Colombo Bed,3,1899.99,5699.97,2026-05-08
151,3088,24,Fish Steak,3,14.99,44.97,2026-05-10
152,4493,2,Eyeshadow Palette with Mirror,5,19.99,99.94999999999999,2026-05-02
